Library	Species	Species_strain	Species_scientific_name	Organ_detail	Organ_group	Developmental_stage	Stage_detail	Timepoint	Group	Sex	Filename	Used_library	Sequencing_runs	Total_number_reads	Total_number_aligned_reads	Percent_aligned_reads	Extraction_protocol	RQN	RIN	HDBR_ID
1349	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e10	e10	7	Chicken.Brain.7	Female	1349sTS.Chicken.Brain.10.Female.sorted.bam	yes	VADER 102 lane 3	34744186	32829470	94%	QIAgen RNeasy QIAzol	9.1		
1361	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e10	e10	7	Chicken.Brain.7	Female	1361sTS.Chicken.Brain.10.Female.sorted.bam	yes	OBIWAN 47 lane 7	22311841	21488476	96%	QIAgen RNeasy QIAzol	9.1		
1717	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e10	e10	7	Chicken.Brain.7	Male	1717sTS.Chicken.Brain.10.Male.sorted.bam	yes	OBIWAN 51 lane 3	21352914	20562269	96%	QIAgen RNeasy QIAzol	9.0		
1720	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e10	e10	7	Chicken.Brain.7	Male	1720sTS.Chicken.Brain.10.Male.sorted.bam	yes	VADER 120 lane 3	37939290	35046980	92%	QIAgen RNeasy QIAzol	9.1		
1350	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e12	e12	9	Chicken.Brain.9	Female	1350sTS.Chicken.Brain.12.Female.sorted.bam	yes	VADER 104 lane 4	31916451	30323458	95%	QIAgen RNeasy QIAzol	9.1		
1353	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e12	e12	9	Chicken.Brain.9	Male	1353sTS.Chicken.Brain.12.Male.sorted.bam	yes	VADER 126 lane 8	20622647	19741187	96%	QIAgen RNeasy QIAzol	9.4		
1364	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e12	e12	9	Chicken.Brain.9	Male	1364sTS.Chicken.Brain.12.Male.sorted.bam	yes	VADER 104 lane 4	31537092	29936560	95%	QIAgen RNeasy QIAzol	9.3		
1553	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e12	e12	9	Chicken.Brain.9	Female	1553sTS.Chicken.Brain.12.Female.sorted.bam	yes	OBIWAN 47 lane 7	23031728	22234451	97%	QIAgen RNeasy QIAzol	8.9		
1338	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e14	e14	11	Chicken.Brain.11	Male	1338sTS.Chicken.Brain.14.Male.sorted.bam	yes	OBIWAN 20 lane 5	35768420	34010606	95%	QIAgen RNeasy QIAzol	8.0		
1420	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e14	e14	11	Chicken.Brain.11	Female	1420sTS.Chicken.Brain.14.Female.sorted.bam	yes	OBIWAN 20 lane 5	28847940	27502823	95%	QIAgen RNeasy QIAzol	7.3		
1546	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e14	e14	11	Chicken.Brain.11	Male	1546sTS.Chicken.Brain.14.Male.sorted.bam	yes	VADER 126 lane 8	21837571	21017750	96%	QIAgen RNeasy QIAzol	9.3		
1612	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e14	e14	11	Chicken.Brain.11	Female	1612sTS.Chicken.Brain.14.Female.sorted.bam	yes	OBIWAN 47 lane 7	21011454	20352018	97%	QIAgen RNeasy QIAzol	8.9		
1423	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e17	e17	12	Chicken.Brain.12	Male	1423sTS.Chicken.Brain.17.Male.sorted.bam	yes	VADER 104 lane 4	30691697	29112491	95%	QIAgen RNeasy QIAzol	7.6		
1426	Chicken	Chicken (red junglefowl)	Gallus_gallus	Forebrain/Cerebrum	Brain	e17	e17	12	Chicken.Brain.12	Female	1426sTS.Chicken.Brain.17.Female.sorted.bam	yes	VADER 104 lane 4	33405754	31878677	95%	QIAgen RNeasy QIAzol	7.2		
